date,close,open,high,low,volume,change,target,ATR,Parabolic SAR,MACD,SMA,EMA,RSI,day,month,dayofweek,O_topix,C_topix,H_topix,L_topix,change_topix,O_usd,C_usd,H_usd,L_usd,change_usd,unemployment
2017-01-04,19594.16,19298.68,19594.16,19277.93,169000.0,0.0250999999999999,-0.0037495866115210275,0.0,19594.16,0.0,19594.16,19594.16,100.0,4,1,2,1533.04,1554.48,1554.79,1532.56,0.0236,117.77,117.27,118.19,117.05,-0.0040999999999999,3.0
2017-01-05,19520.69,19602.1,19615.4,19473.28,139000.0,-0.0037,-0.0037495866115210275,0.0,19594.16,-5.8608547008552705,19557.425,19582.85692307692,0.0,5,1,3,1558.06,1555.68,1558.45,1550.64,0.0008,117.25,115.36,117.44,115.22,-0.0163,3.0
2017-01-06,19454.33,19393.55,19472.37,19354.44,123000.0,-0.0034,-0.003399469998242699,0.0,19594.16,-15.679577276154305,19523.06,19563.083550295858,0.0,6,1,4,1541.66,1553.32,1554.78,1541.36,-0.0015,115.36,116.92,117.19,115.06,0.0135,3.0
2017-01-10,19301.44,19414.83,19484.9,19255.35,117000.0,-0.0079,-0.00785891881139078,0.0,19615.4,-35.38997727360038,19467.655,19522.830696404188,0.0,10,1,1,1550.67,1542.31,1557.67,1540.09,-0.0070999999999999,116.02,115.77,116.35,115.19,-0.0022,3.0
2017-01-11,19364.67,19358.64,19402.17,19325.46,127000.0,0.0033,0.003275921382031477,0.0,19600.998,-45.38530516591709,19447.057999999997,19498.498281572774,19.682977261442204,11,1,2,1548.18,1550.4,1552.28,1545.55,0.0052,115.78,115.41,116.86,114.24,-0.0031,3.0
2017-01-12,19134.7,19300.19,19300.19,19069.02,125000.0,-0.0118999999999999,-0.011875751045589578,0.0,19587.17208,-71.04437624775528,19394.998333333333,19442.529315176962,11.114391274487232,12,1,3,1544.63,1535.41,1546.26,1528.5,-0.0097,115.42,114.72,115.53,113.75,-0.006,3.0
2017-01-13,19287.28,19174.97,19299.36,19156.93,99418.0,0.008,0.007973994888866631,0.0,19556.0829552,-78.16639061389287,19379.609999999997,19418.644805149735,32.20270462870285,13,1,4,1534.18,1544.89,1545.64,1533.2,0.0062,114.72,114.53,115.46,114.2,-0.0017,3.0
2017-01-16,19095.24,19219.13,19255.41,19061.27,86057.0,-0.01,-0.009956821283249706,0.0,19526.859177888,-98.17496152053354,19344.06375,19368.890219742083,24.366820171976656,16,1,0,1540.64,1530.64,1543.72,1527.37,-0.0092,114.55,114.2,114.55,113.67,-0.0029,3.0
2017-01-17,18813.53,19038.45,19043.91,18812.86,110000.0,-0.0148,-0.014752891296469839,0.0,19489.61204365696,-135.20498190015132,19285.115555555556,19283.450185935606,17.60091203331318,17,1,1,1525.87,1509.1,1525.87,1509.01,-0.0141,114.19,112.64,114.3,112.59,-0.0137,3.0
2017-01-18,18894.37,18753.96,18941.24,18650.33,123000.0,0.0043,0.004296907597882926,0.0,19421.936839291266,-156.22753368588747,19246.041,19223.591695791667,24.11276647523205,18,1,2,1503.14,1513.86,1516.39,1495.03,0.0032,112.61,114.67,114.77,112.56,0.018,3.0
2017-01-19,19072.25,19082.83,19122.39,18982.13,171000.0,0.0094,0.009414444620275741,0.0,19329.344018576314,-156.72796561276482,19230.241818181818,19200.308357977563,36.08257142772922,19,1,3,1528.84,1528.15,1533.98,1521.01,0.0094,114.63,114.87,115.62,114.38,0.0017,3.0
2017-01-20,19137.91,19059.15,19176.86,19040.2,126000.0,0.0034,0.0034426981609405605,0.0,19247.862336347156,-150.0961334687163,19222.5475,19190.7086105964,39.85381742335279,20,1,4,1527.4,1533.46,1537.59,1525.52,0.0034999999999999,114.88,114.62,115.41,114.22,-0.0022,3.0
2017-01-23,18891.03,18938.45,19024.21,18879.68,125000.0,-0.0129,-0.012900050214469605,0.0,19176.86,-162.88388739040238,19163.953333333335,19144.604208966186,32.168438841348376,23,1,0,1519.27,1514.63,1523.36,1512.68,-0.0123,114.37,112.7,114.45,112.68,-0.0168,3.0
2017-01-24,18787.99,18817.42,18915.7,18783.16,132000.0,-0.0055,-0.005454440546650785,212.1385714285716,19176.86,-179.26627137588002,19102.895,19089.74048450985,29.602597579418372,24,1,1,1508.38,1506.33,1513.99,1504.31,-0.0055,112.7,113.8,113.91,112.5,0.0098,3.0
2017-01-25,19057.5,19091.23,19133.18,18987.45,125000.0,0.0143,0.014344802184799832,221.64224489795924,19176.86,-168.55917881321147,19069.825833333332,19084.780409969873,42.517452317134854,25,1,2,1526.59,1521.58,1528.93,1516.9,0.0101,113.78,113.28,114.0,113.03,-0.0046,3.0
2017-01-26,19402.39,19260.67,19405.23,19232.46,145000.0,0.0181,0.018097337006427905,230.64851311953356,19176.86,-130.73693616367746,19078.23833333333,19133.64342382066,54.11772581624196,26,1,3,1536.6,1545.01,1546.08,1535.25,0.0154,113.28,114.53,114.86,113.03,0.011,3.0
2017-01-27,19467.4,19453.51,19486.68,19404.13,135000.0,0.0034,0.003350618145496531,220.1943336109955,19176.86,-94.4282624506377,19086.799166666668,19184.99058938671,55.92334074874165,27,1,4,1551.58,1549.25,1553.28,1545.45,0.0027,114.53,115.08,115.39,114.39,0.0048,3.0
2017-01-30,19368.85,19371.28,19390.97,19295.8,97802.0,-0.0051,-0.005062309296567702,216.72330978163882,19176.86,-72.76672877289093,19106.311666666665,19213.276652557986,52.54741632836201,30,1,0,1542.62,1543.77,1543.99,1535.97,-0.0034999999999999,115.09,113.78,115.14,113.44,-0.0113,3.0
2017-01-31,19041.34,19145.35,19199.75,19041.34,134000.0,-0.0169,-0.016909109214021445,224.63664479723593,19176.86,-81.09234507923611,19085.81666666667,19186.82485985676,43.21159512213416,31,1,1,1526.06,1521.67,1533.04,1520.95,-0.0143,113.75,112.8,113.97,112.06,-0.0086,3.0
2017-02-01,19148.08,18926.97,19155.79,18916.18,131000.0,0.0056,0.005605697918318775,225.70617016886197,19176.86,-78.17626275424846,19090.219999999998,19180.86411218649,46.544918666862124,1,2,2,1511.26,1527.77,1528.59,1508.21,0.004,112.81,113.25,113.97,112.62,0.004,2.9
2017-02-02,18914.58,19152.79,19170.63,18866.8,137000.0,-0.0122,-0.012194434115587516,231.2864437282291,19176.86,-93.62746591553514,19098.640833333335,19139.89732569626,40.89053855527091,2,2,3,1530.08,1510.41,1530.72,1507.08,-0.0113999999999999,113.25,112.81,113.36,112.03,-0.0039,2.9
2017-02-03,18918.2,18996.74,19061.26,18830.89,141000.0,0.0002,0.0001913867503269273,231.22098346192698,19486.68,-104.37735482063363,19100.626666666667,19105.790044819914,41.01018399084785,3,2,4,1515.83,1514.99,1523.61,1509.47,0.003,112.78,112.7,113.45,112.28,-0.001,2.9
2017-02-06,18976.71,19069.72,19075.57,18899.4,120000.0,0.0031,0.003092788954551562,227.28877035750352,19473.5642,-106.94268254034978,19092.664999999997,19085.931576386083,43.01781744250184,6,2,0,1528.89,1520.42,1530.16,1515.34,0.0036,112.42,111.75,112.81,111.64,-0.0084,2.9
2017-02-07,18910.78,18844.12,18970.58,18805.32,106000.0,-0.0034999999999999,-0.0034742587097552624,223.29600104625322,19460.710716,-112.9932078758502,19073.7375,19058.985180018994,41.31166534162036,7,2,1,1510.48,1516.15,1521.23,1509.2,-0.0028,111.75,112.39,112.58,111.58,0.0056999999999999,2.9
2017-02-08,19007.6,18951.16,19009.24,18875.57,103000.0,0.0051,0.005119831122777585,216.89414382866383,19434.495087360003,-108.72244330536705,19083.451666666664,19051.07976770838,44.77558029062967,8,2,2,1518.93,1524.15,1524.38,1514.46,0.0053,112.36,111.94,112.55,111.61,-0.004,2.9
2017-02-09,18907.67,18942.04,18991.23,18874.91,130000.0,-0.0053,-0.005257370735916145,210.87956212661632,19409.328083865603,-112.10902441617873,19093.425,19029.016726522474,42.018964306849014,9,2,3,1518.19,1513.55,1520.48,1511.21,-0.0069999999999999,111.97,113.25,113.38,111.73,0.0117,2.9
2017-02-10,19378.93,19216.74,19395.99,19193.57,149000.0,0.0249,0.02492427676175879,230.69673626042967,19409.328083865603,-75.89134267204645,19120.210833333334,19082.849537826707,55.829650504837694,10,2,4,1535.75,1546.56,1547.59,1533.46,0.0218,113.25,113.22,113.88,112.86,-0.0003,2.9
2017-02-13,19459.15,19513.78,19519.44,19418.18,118000.0,0.0040999999999999,0.004139547436313729,224.25482652754172,19409.328083865603,-40.25149124661766,19124.940833333334,19140.7419166226,57.67766621504322,13,2,0,1558.72,1554.2,1558.72,1551.02,0.0049,113.33,113.75,114.17,113.28,0.0047,2.9
2017-02-14,19238.98,19478.86,19501.01,19232.85,143000.0,-0.0113,-0.011314471598194209,227.39091034700303,19409.328083865603,-29.43324307858711,19105.905833333334,19155.85546791143,51.330101797119966,14,2,1,1559.22,1539.12,1559.22,1538.63,-0.0097,113.73,114.26,114.5,113.22,0.0045,2.9
2017-02-15,19437.98,19438.81,19495.62,19420.0,143000.0,0.0103,0.010343583703501968,229.48013103650277,19409.328083865603,-4.747342171114724,19111.666666666668,19199.259242078904,56.039267527966054,15,2,2,1554.05,1553.69,1557.96,1552.87,0.0095,114.23,114.17,114.97,113.84,-0.0008,2.9
2017-02-16,19347.53,19431.61,19431.61,19260.24,138000.0,-0.0047,-0.004653261295669675,225.78440739103812,19409.328083865603,7.432179533272574,19137.1825,19222.07012791292,53.505191514223945,16,2,3,1554.17,1551.07,1555.78,1542.75,-0.0017,114.17,113.23,114.36,113.09,-0.0081999999999999,2.9
2017-02-17,19234.62,19228.74,19275.39,19173.53,144000.0,-0.0058,-0.00583588706155258,222.0855211488211,19409.328083865603,7.882777113252814,19144.39416666667,19224.00087746478,50.43898071287741,17,2,4,1542.84,1544.54,1546.78,1537.73,-0.0042,113.25,112.88,113.53,112.61,-0.0031,2.9
